Hierarchy,Id,Term,Condition
Body structure (body structure),44085002,Suspicious for cancer,Existing localized concept
Clinical finding (finding),5125001,Trichophagia,Existing localized concept
Clinical finding (finding),11999007,Tuberculosis&#44; latent,Existing localized concept
Clinical finding (finding),14683004,Relapsing fever&#44; louseborne,Existing localized concept
Clinical finding (finding),17305005,Urogenital gonorrhea,Existing localized concept
Clinical finding (finding),37246009,Rickettsial disease,Existing localized concept
Clinical finding (finding),39526006,Excessive foreskin,Existing localized concept
Clinical finding (finding),40468003,Type A viral hepatitis,Existing localized concept
Clinical finding (finding),58554001,Pleura empyema,Existing localized concept
Clinical finding (finding),62455006,No clinical axiliary node metastases,Existing localized concept
Clinical finding (finding),70545002,Narcotic misuse,Existing localized concept
Clinical finding (finding),112631006,Nondiagnostic or unsatisfactory,Existing localized concept
Clinical finding (finding),163147004,Mouth-purpuric spots,Existing localized concept
Clinical finding (finding),171258008,Up to date,Existing localized concept
Clinical finding (finding),171279008,Due,Existing localized concept
Clinical finding (finding),213266005,Injury to blood vessels,Existing localized concept
Clinical finding (finding),213315003,Transfusion infection,Existing localized concept
Clinical finding (finding),224302000,Received college education,Existing localized concept
Clinical finding (finding),240354007,Verotoxigenic Escherichia coli Infection,Existing localized concept
Clinical finding (finding),240370009,Shingles,Existing localized concept
Clinical finding (finding),240571007,Perinatally acquired gonococcal infection,Existing localized concept
Clinical finding (finding),248118000,Purging to lose weight,Existing localized concept
Clinical finding (finding),249520001,Purging,Existing localized concept
Clinical finding (finding),363518003,Cancer of kidney,Existing localized concept
Clinical finding (finding),369983003,Clinical axillary lymph node metastases - non-matted,Existing localized concept
Clinical finding (finding),373176000,Ductal carcinoma in situ,Existing localized concept
Clinical finding (finding),388759003,Entamoeba histolytica infection,Existing localized concept
Clinical finding (finding),397420007,Non-neurologic West Nile virus syndrome,Existing localized concept
Clinical finding (finding),403946000,Paget's disease of breast,Existing localized concept
Clinical finding (finding),405634003,Streptococcal disease of the newborn&#44; group B,Existing localized concept
Clinical finding (finding),406614006,Streptococcal invasive disease&#44; group A,Existing localized concept
Clinical finding (finding),418237007,Pain in big toe,Existing localized concept
Clinical finding (finding),425740005,HTLV II infection,Existing localized concept
Clinical finding (finding),427099000,Tuberculosis&#44; active,Existing localized concept
Clinical finding (finding),427481004,Anaplasmosis,Existing localized concept
Clinical finding (finding),429659006,HTLV-I infection,Existing localized concept
Clinical finding (finding),443483005,Poor sleep habit,Existing localized concept
Clinical finding (finding),445333001,BRCA gene mutation positive,Existing localized concept
Clinical finding (finding),707211005,Listeriosis&#44; invasive,Existing localized concept
Clinical finding (finding),707274007,Carbapenem resistant bacterial infection,Existing localized concept
Pharmaceutical / biologic product (product),3526007,Rab rabies unspecified,Existing localized concept
Pharmaceutical / biologic product (product),9542007,HBIg hepatitis B immunoglobulin unspecified,Existing localized concept
Pharmaceutical / biologic product (product),9778000,CMVIg cytomegalovirus immunoglobulin unspecified,Existing localized concept
Pharmaceutical / biologic product (product),11866009,PLAG plague unspecified,Existing localized concept
Pharmaceutical / biologic product (product),14745005,HA hepatitis A unspecified,Existing localized concept
Pharmaceutical / biologic product (product),33234009,Sma smallpox unspecified,Existing localized concept
Pharmaceutical / biologic product (product),34689006,HB hepatitis B unspecified,Existing localized concept
Pharmaceutical / biologic product (product),35736007,Chol cholera unspecified,Existing localized concept
Pharmaceutical / biologic product (product),46233009,Inf influenza unspecified,Existing localized concept
Pharmaceutical / biologic product (product),56844000,YF yellow fever unspecified,Existing localized concept
Pharmaceutical / biologic product (product),59999009,Td tetanus + diphtheria adult unspecified,Existing localized concept
Pharmaceutical / biologic product (product),61153008,MMR measles + mumps + rubella unspecified,Existing localized concept
Pharmaceutical / biologic product (product),61602008,Pertussis unspecified,Existing localized concept
Pharmaceutical / biologic product (product),62294009,VarIg varicella immunoglobulin unspecified,Existing localized concept
Pharmaceutical / biologic product (product),77048008,DAtx diphtheria antitoxin unspecified,Existing localized concept
Pharmaceutical / biologic product (product),80834004,RabIg rabies immunoglobulin unspecified,Existing localized concept
Pharmaceutical / biologic product (product),86080005,BAtx botulism antitoxin unspecified,Existing localized concept
Pharmaceutical / biologic product (product),86337009,TIg tetanus immunoglobulin unspecified,Existing localized concept
Pharmaceutical / biologic product (product),89428009,Typh typhoid unspecified,Existing localized concept
Pharmaceutical / biologic product (product),90043005,Mu mumps live unspecified,Existing localized concept
Pharmaceutical / biologic product (product),108723008,RSVIg respiratory syncytial virus immunoglobulin unspecified,Existing localized concept
Pharmaceutical / biologic product (product),108725001,RSVAb respiratory syncytial virus monoclonal antibody unspecified,Existing localized concept
Pharmaceutical / biologic product (product),108729007,Var varicella unspecified,Existing localized concept
Pharmaceutical / biologic product (product),111164008,Poliomyelitis unspecified,Existing localized concept
Pharmaceutical / biologic product (product),116077000,Rota rotavirus unspecified,Existing localized concept
Pharmaceutical / biologic product (product),116083002,LYM Lyme unspecified,Existing localized concept
Pharmaceutical / biologic product (product),125688000,IPV poliomyelitis inactivated unspecified,Existing localized concept
Pharmaceutical / biologic product (product),125690004,OPV poliomyelitis live unspecified,Existing localized concept
Pharmaceutical / biologic product (product),125714002,Pneu-C-7 pneumococcal conjugate 7-valent unspecified,Existing localized concept
Pharmaceutical / biologic product (product),135642004,Pneu-P pneumococcal polysaccharide unspecified,Existing localized concept
Pharmaceutical / biologic product (product),333521006,Anth anthrax unspecfied,Existing localized concept
Pharmaceutical / biologic product (product),333598008,Pneu pneumococcal unspecified,Existing localized concept
Pharmaceutical / biologic product (product),333621002,T tetanus unspecified,Existing localized concept
Pharmaceutical / biologic product (product),333680004,Hib Haemophilus influenzae type b unspecified,Existing localized concept
Pharmaceutical / biologic product (product),333697005,JE Japanese encephalitis unspecified,Existing localized concept
Pharmaceutical / biologic product (product),333699008,TBE tick-borne encephalitis unspecified,Existing localized concept
Pharmaceutical / biologic product (product),333702001,HAHB hepatitis A + B unspecified,Existing localized concept
Pharmaceutical / biologic product (product),333707007,HA-Typh-I hepatitis A + typhoid injectable unspecified,Existing localized concept
Pharmaceutical / biologic product (product),333711001,Ig immune globulin unspecified,Existing localized concept
Pharmaceutical / biologic product (product),346639000,Typh-I typhoid polysaccharide injectable unspecified,Existing localized concept
Pharmaceutical / biologic product (product),346696005,Typh-O typhoid live oral unspecified,Existing localized concept
Pharmaceutical / biologic product (product),359068008,Men-C-C meningococcal conjugate C unspecified,Existing localized concept
Pharmaceutical / biologic product (product),386012008,M measles unspecified,Existing localized concept
Pharmaceutical / biologic product (product),386013003,R rubella unspecified,Existing localized concept
Pharmaceutical / biologic product (product),407737004,Zos zoster unspecified,Existing localized concept
Pharmaceutical / biologic product (product),409580000,Cholera live oral vaccine,Existing localized concept
Pharmaceutical / biologic product (product),413830002,Oral&#44; Inactivated Travellers' Diarrhea and Cholera Vaccine,Existing localized concept
Pharmaceutical / biologic product (product),416653007,BIG-IV botulism immunoglobulin unspecified,Existing localized concept
Pharmaceutical / biologic product (product),418268006,BCG Bacillus Calmette Guerin unspecified,Existing localized concept
Pharmaceutical / biologic product (product),419550004,MMR-Var measles + mumps + rubella + varicella unspecified,Existing localized concept
Pharmaceutical / biologic product (product),420261000,Men-ACYW-135 meningococcal A + C + Y + W-135 unspecified,Existing localized concept
Pharmaceutical / biologic product (product),423321003,PPD tuberculin purified protein derivative unspecified,Existing localized concept
Pharmaceutical / biologic product (product),423531006,Men meningococcal unspecified,Existing localized concept
Pharmaceutical / biologic product (product),424519000,HPV human papillomavirus unspecified,Existing localized concept
Pharmaceutical / biologic product (product),428214002,Diphtheria unspecified,Existing localized concept
Pharmaceutical / biologic product (product),443651005,Inf influenza A virus subtype H1N1 unspecified,Existing localized concept
Pharmaceutical / biologic product (product),448964007,Pneu-C-13 pneumococcal conjugate 13-valent unspecified,Existing localized concept
Pharmaceutical / biologic product (product),449019003,Pertussis acellular unspecified,Existing localized concept
Pharmaceutical / biologic product (product),451022006,Inf influenza A monovalent H1N1 unadjuvanted unspecified,Existing localized concept
Procedure (procedure),24443003,Near total and/or total thryoidectomy,Existing localized concept
Procedure (procedure),44578009,Core biopsy,Existing localized concept
Procedure (procedure),51316009,Laparoscopic,Existing localized concept
Procedure (procedure),234248001,Lateral neck (levels I-V) dissection,Existing localized concept
Procedure (procedure),243203006,Sequential calf-compression device (SCDs),Existing localized concept
Procedure (procedure),287581009,Angiography of right renal artery,Existing localized concept
Procedure (procedure),287582002,Angiography of left renal artery,Existing localized concept
Procedure (procedure),396487001,Sentinel lymph node dissection,Existing localized concept
Procedure (procedure),445867003,US of dialysis shunt,Existing localized concept
Procedure (procedure),700319007,MR of thoracic and lumbar spine,Existing localized concept
Procedure (procedure),700320001,MR of cervical and lumbar spine,Existing localized concept
Procedure (procedure),700321002,MR of cervical and lumbar spine with contrast,Existing localized concept
Procedure (procedure),700322009,MR of tibia and fibula,Existing localized concept
Procedure (procedure),702483006,CT and biopsy of lower extremity,Existing localized concept
Procedure (procedure),702502001,CT of lower extremity with contrast,Existing localized concept
Procedure (procedure),702607002,MR of cervical and thoracic spine,Existing localized concept
Procedure (procedure),702608007,MR of cervical and thoracic spine with contrast,Existing localized concept
Procedure (procedure),702685007,MR of kidney with contrast,Existing localized concept
Procedure (procedure),702687004,MR of wrist and hand with contrast,Existing localized concept
Procedure (procedure),702708000,MR of wrist and hand,Existing localized concept
Procedure (procedure),702719002,MR of lower limb with contrast,Existing localized concept
Procedure (procedure),702720008,MR of wrist with contrast,Existing localized concept
Procedure (procedure),702721007,MR of temporomandibular joint with contrast,Existing localized concept
Procedure (procedure),702723005,MR of neck vessels with contrast,Existing localized concept
Procedure (procedure),702724004,MR of head and neck with contrast,Existing localized concept
Procedure (procedure),702725003,MR of head and neck,Existing localized concept
Procedure (procedure),702759004,NM of heart for assessment of myocardial viability,Existing localized concept
Procedure (procedure),702767007,PET of whole body,Existing localized concept
Procedure (procedure),702985005,US of fetal shunt,Existing localized concept
Qualifier value (qualifier value),12130007,Intraarticular,Existing localized concept
Qualifier value (qualifier value),25876001,Emergent,Existing localized concept
Qualifier value (qualifier value),48318009,Previous diagnosis,Existing localized concept
Qualifier value (qualifier value),310001007,Anesthesiology service,Existing localized concept
Qualifier value (qualifier value),310004004,Audiology service,Existing localized concept
Qualifier value (qualifier value),310022001,Oncology service,Existing localized concept
Qualifier value (qualifier value),310099002,Pediatric physiotherapy service,Existing localized concept
Qualifier value (qualifier value),310104001,Pediatric speech and language therapy service,Existing localized concept
Qualifier value (qualifier value),310117003,Developmental psychiatry service,Existing localized concept
Qualifier value (qualifier value),310160007,Eye clinic service,Existing localized concept
Qualifier value (qualifier value),373933003,Acute,Existing localized concept
Qualifier value (qualifier value),394805004,Clinical immunology and/or allergy,Existing localized concept
Qualifier value (qualifier value),394818007,Geriatric psychiatry,Existing localized concept
Qualifier value (qualifier value),418112009,Respirology,Existing localized concept
Situation with explicit context (situation),162572001,Suspicious,Existing localized concept
Social context (social concept),75271001,Midwife,Existing localized concept
Social context (social concept),78703002,Surgeon,Existing localized concept
Social context (social concept),159026005,Speech and language pathologist,Existing localized concept
Social context (social concept),224577009,Healthcare aid,Existing localized concept
Social context (social concept),224596008,Marriage counsellor,Existing localized concept
Social context (social concept),309337009,Pain medicine specialist,Existing localized concept
Social context (social concept),309338004,Intensivist,Existing localized concept
Social context (social concept),309341008,Transfusion medicine specialist,Existing localized concept
Social context (social concept),309372007,Otolaryngologist,Existing localized concept
Social context (social concept),309421002,Hearing aid specialist,Existing localized concept
Social context (social concept),310182000,Nurse,Existing localized concept
Substance (substance),11320009,Saccharose,Existing localized concept
Substance (substance),16808006,TCE,Existing localized concept
Substance (substance),23423003,Caustic soda,Existing localized concept
Substance (substance),24908005,Sulfonic acid,Existing localized concept
Substance (substance),25307002,Petroleum jelly,Existing localized concept
Substance (substance),42033003,Indian tragacanth gum,Existing localized concept
Substance (substance),64601002,Sawdust,Existing localized concept
Substance (substance),115582009,Sulfhydryl compound,Existing localized concept
Substance (substance),120981006,Meningococcal group W-135 antigen,Existing localized concept
Substance (substance),120985002,Pneumococcal antigen,Existing localized concept
Substance (substance),121080001,Meningococcal group B antigen,Existing localized concept
Substance (substance),226479007,Soft drink,Existing localized concept
Substance (substance),226908006,Canola oil,Existing localized concept
Substance (substance),227231008,Kohlrabi,Existing localized concept
Substance (substance),227276008,Water caltrop,Existing localized concept
Substance (substance),227344001,Fava bean,Existing localized concept
Substance (substance),227414003,Indian saffron,Existing localized concept
Substance (substance),255924000,Allyl guaiaco,Existing localized concept
Substance (substance),256107000,Turps,Existing localized concept
Substance (substance),260121008,Canola pollen,Existing localized concept
Substance (substance),386900007,Respiratory syncytial virus monoclonal antibody,Existing localized concept
Substance (substance),418747006,Hepatitis B immunoglobulin,Existing localized concept
Substance (substance),420084002,Immune globulin,Existing localized concept
Substance (substance),422303009,Rabies immunoglobulin,Existing localized concept
Substance (substance),427811002,Plexiglass,Existing localized concept
Substance (substance),428527002,Tetanus immunoglobulin,Existing localized concept
Organism (organism),588234111000087104,Highlands j virus (organism),New localized concept
Body structure (body structure),712863009,Lateral compartment,New localized concept
Body structure (body structure),713485000,Central compartment,New localized concept
Clinical finding (finding),603435002,Received junior high school,New localized concept
Clinical finding (finding),711366008,Injury to spleen,New localized concept
Clinical finding (finding),711368009,Splenic flexure polyp,New localized concept
Clinical finding (finding),712977006,Rectal injury,New localized concept
Clinical finding (finding),712986001,Tick-borne encephalitis,New localized concept
Clinical finding (finding),712989008,Phyllodes,New localized concept
Clinical finding (finding),713197008,Recurrence of rectal polyp,New localized concept
Clinical finding (finding),713203006,Injury to liver,New localized concept
Clinical finding (finding),713215005,Injury to esophagus,New localized concept
Clinical finding (finding),713222002,Intraoperative complication due to anesthetic,New localized concept
Clinical finding (finding),713609000,Invasive carcinoma,New localized concept
Clinical finding (finding),713613007,HNPCC gene mutation positive,New localized concept
Clinical finding (finding),713890008,Hypoxemia,New localized concept
Clinical finding (finding),713891007,Bleeding requiring transfusion,New localized concept
Clinical finding (finding),713895003,Obturator nerve injury,New localized concept
Clinical finding (finding),715212005,Injury to gall bladder,New localized concept
Clinical finding (finding),716050002,Cardiac arrest,New localized concept
Clinical finding (finding),716051003,CVA during surgery,New localized concept
Clinical finding (finding),718465002,Stage 0,New localized concept
Clinical finding (finding),718476003,Multiple radical procedures required for optimal cytoreduction,New localized concept
Environment or geographical location (environment / location),285141008,Work location,New localized concept
Organism (organism),5711000087108,Cronobacter dublinensis subspecies Lausannensis,New localized concept
Organism (organism),137470351000087107,Nattrassia mangiferae,New localized concept
Organism (organism),320150051000087103,IERIV,New localized concept
Organism (organism),531722621000087102,Chrysonilia sitophila,New localized concept
Pharmaceutical / biologic product (product),79873000,VIG vaccinia immune globulin unspecified,New localized concept
Pharmaceutical / biologic product (product),426842004,Diphtheria&#44; tetanus&#44; acellular pertussis&#44; inactivated poliomyelitis&#44; Haemophilus influenza type B&#44; hepatitis B vaccine,New localized concept
Physical object (physical object),717313001,SPECT system,New localized concept
Physical object (physical object),717326002,Positron emission tomography and computed tomography system,New localized concept
Physical object (physical object),717327006,Arteriography device,New localized concept
Procedure (procedure),241609005,MRI of sinuses,New localized concept
Procedure (procedure),418355001,Urinary tract loopography using fluoroscopic guidance,New localized concept
Procedure (procedure),419275004,Urography using magnetic resonance imaging guidance,New localized concept
Procedure (procedure),432103005,MRI of carotid artery,New localized concept
Procedure (procedure),432368007,MRI of paranasal sinuses with contrast,New localized concept
Procedure (procedure),432671005,Facet joint nerve block using fluoroscopic guidance,New localized concept
